"","Oxy4x_01","Oxy4x_02","Oxy4x_03","Oxy4x_04","Oxy4x_05","Oxy4x_06","Oxy4x_07","Oxy4x_08","Oxy4x_09","Oxy4x_10","Oxy4x_11","Oxy4x_12","Oxy4x_13","Oxy4x_14","Oxy4x_15","Oxy4x_16","Oxy4x_17","Oxy4x_18"
"chr01_000175030",0,4,4,3,4,4,4,2,4,4,2,2,4,2,4,4,4,4
"chr01_000175165",0,4,4,3,4,4,4,2,4,4,2,2,4,3,4,4,4,4
"chr01_001465651",4,4,4,4,4,4,0,0,1,0,1,4,0,4,0,1,4,4
"chr01_001831908",1,2,0,0,0,1,1,2,1,1,2,0,1,0,1,2,0,0
"chr01_001974844",3,0,2,0,1,1,2,1,1,0,0,0,0,0,0,2,2,1
"chr01_002304148",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"chr01_002446068",4,4,0,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4
"chr01_002701030",0,2,1,3,2,2,2,4,2,2,1,4,2,3,1,1,4,3
"chr01_002701177",0,1,0,1,0,0,2,4,2,2,0,4,0,2,0,0,0,0
"chr01_002749173",4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
"chr01_002977411",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
"chr01_003092865",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"chr01_004186267",3,4,4,4,3,2,4,3,3,4,4,4,4,4,3,3,3,4
"chr01_004186329",3,2,4,3,3,2,1,4,2,4,1,3,1,3,1,3,2,2
"chr01_005647196",1,0,3,2,2,2,0,2,4,0,2,1,1,0,0,0,0,1
"chr01_005908969",0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_006014664",0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0
"chr01_006165162",0,0,0,0,0,3,0,0,0,3,0,2,0,2,0,0,2,0
"chr01_006426192",0,3,1,2,0,0,4,0,0,0,3,0,4,2,0,4,1,4
"chr01_007386534",4,2,4,4,4,2,4,4,4,4,4,3,4,2,3,4,3,4
"chr01_007643666",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr01_008013059",4,2,4,4,4,4,3,3,3,3,3,2,4,3,2,4,4,1
"chr01_008028758",4,4,4,4,2,2,4,4,3,3,4,4,4,2,4,1,2,3
"chr01_008260218",4,3,2,4,3,2,2,4,2,4,4,4,4,4,4,4,4,4
"chr01_008260320",4,4,3,4,4,4,2,4,4,4,4,4,4,3,4,2,4,4
"chr01_008390536",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr01_008514882",2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_009056051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"chr01_009121550",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
"chr01_009121636",4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,3
"chr01_009212668",4,4,3,4,2,3,4,2,4,3,4,3,3,4,3,4,4,4
"chr01_009212708",2,2,2,4,0,0,4,1,4,1,4,2,3,4,2,4,4,4
"chr01_009234526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"chr01_009556567",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"chr01_009556596",2,4,4,2,4,4,3,4,3,4,4,4,2,3,4,4,4,3
"chr01_009564291",1,0,3,0,2,1,0,2,2,2,1,1,0,2,3,1,0,1
"chr01_009564360",0,0,0,0,3,0,0,0,0,1,0,0,0,2,3,2,0,0
"chr01_009906648",4,2,4,4,3,4,4,3,4,4,3,3,4,4,2,3,4,1
"chr01_011095491",1,0,1,3,0,4,3,1,4,4,4,0,2,3,2,2,0,3
"chr01_011638343",4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,4,4,4
"chr01_012301670",4,4,1,4,3,4,3,3,4,4,4,3,4,4,4,3,4,4
"chr01_012381458",1,0,3,0,3,2,2,1,1,2,3,0,0,1,2,2,0,1
"chr01_012697575",3,4,0,4,4,4,2,4,0,4,0,4,2,1,2,3,4,3
"chr01_014317369",4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,4
"chr01_015161370",4,2,4,0,4,4,4,4,4,2,2,4,2,4,3,3,4,4
"chr01_015260368",3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3
"chr01_015534097",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_016169213",2,4,3,4,4,4,3,4,3,4,4,4,4,2,3,3,4,3
"chr01_017196294",2,4,0,1,1,3,2,3,3,1,4,2,4,3,3,4,1,3
"chr01_017196397",2,4,0,0,0,0,1,3,3,0,4,2,4,3,2,4,0,2
"chr01_017481133",4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4
"chr01_017687057",1,0,0,0,2,0,1,1,1,1,0,0,0,1,2,0,0,2
"chr01_018734158",4,2,4,2,4,4,3,4,4,3,1,3,3,3,3,3,4,4
"chr01_019297521",2,2,4,4,0,4,4,4,4,4,4,4,4,1,2,4,4,0
"chr01_019440627",2,2,3,0,4,0,1,0,2,0,0,0,0,3,2,1,0,4
"chr01_020084630",4,4,1,4,4,4,2,4,2,4,4,4,4,4,4,3,4,4
"chr01_021147142",4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4
"chr01_021509091",2,4,3,3,4,4,2,0,2,4,4,4,4,4,3,2,4,4
"chr01_022318457",2,2,0,4,2,0,4,4,4,0,0,0,0,3,4,4,0,2
"chr01_022318519",0,0,0,0,1,0,4,0,4,0,0,0,0,0,0,3,0,0
"chr01_022460583",2,2,0,4,4,4,4,4,4,0,4,4,4,1,0,4,2,2
"chr01_022674801",4,1,4,0,1,0,1,0,1,2,0,0,0,4,3,1,0,1
"chr01_022792171",2,2,4,0,0,4,0,0,0,2,0,0,0,4,3,0,0,2
"chr01_023128018",0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0
"chr01_023358064",3,2,4,4,3,4,4,4,4,4,4,4,4,0,3,4,4,0
"chr01_023604552",1,4,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,4
